|name      |ra           |dec          |spect_type  |vmag |
|HIP 76297 |15 35 08.4604|-41 10 00.102|B2IV        | 2.80|
|HIP 81693 |16 41 17.4771|+31 36 06.793|F9IV        | 2.81|
|HIP 25606 |05 28 14.7263|-20 45 33.236|G5II        | 2.81|
|HIP 2021  |00 25 39.2020|-77 15 18.126|G2IV        | 2.82|
|HIP 81266 |16 35 52.9594|-28 12 57.462|B0V         | 2.82|
|HIP 90496 |18 27 58.2695|-25 25 16.490|K1IIIb      | 2.82|
|HIP 1067  |00 13 14.1500|+15 11 01.017|B2IV        | 2.83|
|HIP 77952 |15 55 08.8080|-63 25 47.099|F2III       | 2.83|
|HIP 39757 |08 07 32.7022|-24 18 15.972|F2mF5IIp    | 2.83|
|HIP 85258 |17 25 17.9972|-55 31 47.366|K3Ib-II     | 2.84|
|HIP 85792 |17 31 50.5216|-49 52 33.534|B2Vne       | 2.84|
|HIP 18246 |03 54 07.9185|+31 53 01.168|B1Ib        | 2.84|
|HIP 63608 |13 02 10.7605|+10 57 32.767|G8IIIvar    | 2.85|
|HIP 107556|21 47 02.2853|-16 07 35.637|A5mF2 (IV)  | 2.85|
|HIP 17702 |03 47 29.0642|+24 06 18.871|B7III       | 2.85|
|HIP 9236  |01 58 45.8718|-61 34 11.728|F0V         | 2.86|
|HIP 97165 |19 44 58.4421|+45 07 50.491|B9.5III     | 2.86|
|HIP 110130|22 18 30.1782|-60 15 34.181|K3III       | 2.87|
|HIP 30343 |06 22 57.5911|+22 30 49.861|M3IIIvar    | 2.87|
|HIP 74946 |15 18 54.6888|-68 40 46.082|A1V         | 2.87|
|HIP 94141 |19 09 45.8338|-21 01 24.691|F2II/III    | 2.88|
|HIP 13847 |02 58 15.7156|-40 18 17.046|A4III+...   | 2.88|
|HIP 36188 |07 27 09.0723|+08 17 21.872|B8Vvar      | 2.89|
|HIP 63125 |12 56 01.8409|+38 19 05.686|A0spe...    | 2.89|
|HIP 78265 |15 58 51.1207|-26 06 50.554|B1V + B2V   | 2.89|
|HIP 106278|21 31 33.5207|-05 34 16.161|G0Ib        | 2.90|
|HIP 80112 |16 21 11.3225|-25 35 33.909|B1III       | 2.90|
|HIP 18532 |03 57 51.2211|+40 00 36.983|B0.5V       | 2.90|
|HIP 14328 |03 04 47.7902|+53 30 23.221|G8III+...   | 2.91|
|HIP 48002 |09 47 06.1376|-65 04 19.268|A9          | 2.92|
|HIP 112158|22 43 00.1286|+30 13 16.711|G2II-III..  | 2.93|
|HIP 60965 |12 29 51.9832|-16 30 54.338|B9.5V       | 2.94|
|HIP 32768 |06 49 56.1368|-50 36 51.839|K0III...    | 2.94|
|HIP 109074|22 05 47.0253|-00 19 11.376|G2Ib        | 2.95|
|HIP 18543 |03 58 01.7301|-13 30 29.681|M1IIIb Ca-1 | 2.97|
|HIP 47908 |09 45 51.1024|+23 46 27.401|G0II        | 2.97|
|HIP 26451 |05 37 38.6843|+21 08 33.335|B4IIIp      | 2.97|
|HIP 88635 |18 05 48.5246|-30 25 25.140|K0III       | 2.98|
|HIP 93747 |19 05 24.6124|+13 51 49.355|A0Vn        | 2.99|
|HIP 87073 |17 47 35.0811|-40 07 37.135|F3Ia        | 2.99|
|HIP 64962 |13 18 55.2534|-23 10 17.085|G8III       | 2.99|
|HIP 82514 |16 51 52.2389|-38 02 50.378|B1.5IV + B  | 3.00|
|HIP 108085|21 53 55.6541|-37 21 53.362|B8III       | 3.00|
