|name      |ra           |dec          |spect_type  |vmag |
|HIP 27549 |05 50 02.6767|+09 52 16.400|G8III       | 5.79|
|HIP 26169 |05 34 44.7824|-73 44 28.921|M2/M3III    | 5.79|
|HIP 51420 |10 30 06.4600|+38 55 30.515|A4V         | 5.79|
|HIP 110992|22 29 10.2105|+26 45 47.553|K2II        | 5.79|
|HIP 83150 |16 59 33.9822|-69 16 05.274|Ap Si       | 5.79|
|HIP 22913 |04 55 50.1561|+15 02 25.103|B9V         | 5.79|
|HIP 64179 |13 09 12.4224|+10 01 20.884|K0III       | 5.79|
|HIP 1657  |00 20 45.5387|+32 54 40.423|K5III       | 5.79|
|HIP 54863 |11 14 01.8068|+08 03 39.438|K3III       | 5.79|
|HIP 94434 |19 13 13.6697|-25 54 24.350|K2III       | 5.79|
|HIP 12114 |02 36 03.8325|+06 53 00.111|K3V         | 5.79|
|HIP 42177 |08 35 52.0398|-50 58 10.837|B8 Si       | 5.79|
|HIP 102026|20 40 32.5595|-16 07 27.694|K0III       | 5.79|
|HIP 23088 |04 58 09.3764|+25 03 01.877|A0V         | 5.79|
|HIP 60463 |12 23 44.7862|-38 54 40.862|B8/B9V      | 5.79|
|HIP 28899 |06 06 05.5317|-29 45 30.680|A1V         | 5.79|
|HIP 7118  |01 31 43.2516|-30 16 58.530|K0III       | 5.79|
|HIP 23068 |04 57 48.6456|+23 56 54.906|G8III:      | 5.79|
|HIP 78649 |16 03 19.3588|+36 37 54.551|A2V+...     | 5.79|
|HIP 109240|22 07 50.3327|+21 42 11.130|B7Vn        | 5.79|
|HIP 43603 |08 52 48.0205|-38 43 26.872|K5/M0III    | 5.79|
|HIP 88817 |18 07 49.5091|+26 05 50.162|A3V         | 5.79|
|HIP 80672 |16 28 14.4577|-37 10 47.338|K1IIICN...  | 5.79|
|HIP 35998 |07 25 08.4373|-13 45 07.112|F3V         | 5.79|
|HIP 54561 |11 09 53.3814|-32 22 02.844|A1V         | 5.79|
|HIP 106592|21 35 17.6263|-03 58 59.854|G9III:      | 5.79|
|HIP 76532 |15 37 48.0587|-23 08 29.454|K0III       | 5.79|
|HIP 97985 |19 54 48.2427|+36 59 44.359|Fp          | 5.79|
|HIP 36024 |07 25 25.2734|-25 13 03.952|B5III       | 5.79|
|HIP 43012 |08 45 55.2347|-79 30 16.453|K5III       | 5.79|
|HIP 66681 |13 40 10.8021|-64 34 35.595|F3III-IV    | 5.79|
|HIP 16591 |03 33 35.0224|+39 53 58.525|A5m         | 5.79|
|HIP 113048|22 53 40.1587|+44 44 57.125|A3m         | 5.79|
|HIP 45743 |09 19 33.1116|-15 50 04.324|K1/K2III    | 5.79|
|HIP 30011 |06 18 58.9773|-20 55 32.234|B3II/III    | 5.79|
|HIP 34975 |07 14 10.8708|-03 54 06.333|K5III       | 5.80|
|HIP 18217 |03 53 43.1925|+57 58 31.330|A5m         | 5.80|
|HIP 55849 |11 26 47.3048|-53 09 35.841|K0III+...   | 5.80|
|HIP 76878 |15 41 54.7581|+18 27 50.035|A2m         | 5.80|
|HIP 23916 |05 08 20.1879|-08 39 54.986|B8V         | 5.80|
|HIP 49764 |10 09 30.1996|-68 40 58.198|A0IV        | 5.80|
|HIP 25708 |05 29 23.7016|-03 26 46.935|K1III...    | 5.80|
|HIP 98819 |20 04 06.4651|+17 04 16.180|G1V         | 5.80|
|HIP 79757 |16 16 44.7716|+29 09 01.088|A3V         | 5.80|
|HIP 55716 |11 24 58.9868|+11 25 49.115|K4III       | 5.80|
|HIP 50493 |10 18 38.1586|-56 06 38.430|F6V         | 5.80|
|HIP 56601 |11 36 17.9409|+27 46 52.688|F0V         | 5.80|
|HIP 111660|22 37 12.8630|+75 22 18.450|M1III       | 5.80|
|HIP 47498 |09 41 02.1030|-57 15 33.988|K0/K1III    | 5.80|
|HIP 44256 |09 00 45.7470|-60 57 49.850|G8II        | 5.80|
|HIP 3583  |00 45 45.4340|-47 33 07.833|G5IV        | 5.80|
|HIP 19571 |04 11 36.1754|-20 21 22.601|A1V + (F/G) | 5.80|
|HIP 38848 |07 56 59.4689|+15 47 25.377|K3III       | 5.80|
|HIP 92367 |18 49 27.2816|-45 48 36.862|G6IV        | 5.80|
|HIP 35785 |07 22 52.0625|+55 16 53.290|B8V         | 5.80|
|HIP 44075 |08 58 43.7848|-16 07 59.685|F7/F8IV/V   | 5.80|
|HIP 13834 |02 58 05.0752|+20 40 07.717|F5IV        | 5.80|
|HIP 98512 |20 00 48.3236|-45 06 46.557|A8III       | 5.80|
|HIP 4267  |00 54 35.2200|+19 11 18.370|A1Vn        | 5.80|
|HIP 109332|22 08 58.9906|-18 31 10.465|B2III       | 5.80|
|HIP 40866 |08 20 20.9325|+20 44 52.195|K1III       | 5.80|
|HIP 72552 |14 49 58.3864|+28 36 57.000|A4V         | 5.80|
|HIP 113031|22 53 28.6911|-11 36 59.468|B8IV/V      | 5.80|
|HIP 5550  |01 11 10.2890|+37 43 26.897|B7III-IV    | 5.80|
|HIP 34339 |07 07 07.0859|-40 53 35.864|B3V         | 5.80|
|HIP 171   |00 02 09.6451|+27 05 04.161|G3V         | 5.80|
|HIP 28855 |06 05 27.1689|-35 30 49.271|A0V         | 5.80|
|HIP 37710 |07 44 09.7434|-36 03 45.768|F0IV        | 5.80|
|HIP 52980 |10 50 18.0594|-08 53 51.817|A3m         | 5.80|
|HIP 12239 |02 37 36.0068|+65 44 43.288|K5III       | 5.80|
|HIP 42028 |08 34 01.6372|-02 09 05.777|A1V         | 5.80|
|HIP 418   |00 05 06.1326|+61 18 50.273|B8MNp...    | 5.80|
|HIP 59920 |12 17 29.5623|+53 11 29.188|K6III       | 5.80|
|HIP 33248 |06 55 02.7382|-20 24 17.463|A2V         | 5.80|
|HIP 72210 |14 46 06.7524|-23 09 10.303|K0III       | 5.80|
|HIP 85998 |17 34 36.6908|+09 35 12.206|A2V         | 5.80|
|HIP 13055 |02 47 47.6346|+81 26 55.198|G8p...      | 5.80|
|HIP 35984 |07 24 57.0788|+51 53 14.438|K5III       | 5.80|
|HIP 47943 |09 46 10.0409|+06 42 31.011|M1III       | 5.80|
|HIP 110009|22 16 52.6002|-09 02 24.134|K3III:      | 5.80|
|HIP 86620 |17 41 58.0384|+72 09 27.273|G0V         | 5.81|
|HIP 89609 |18 17 11.6292|-17 22 25.867|K2III       | 5.81|
|HIP 53762 |10 59 59.4289|-43 48 25.686|B8/B9V      | 5.81|
|HIP 99663 |20 13 27.5692|+60 38 25.560|K5III       | 5.81|
|HIP 5494  |01 10 19.4494|+25 27 28.944|K5III       | 5.81|
|HIP 12148 |02 36 35.1037|+07 43 48.279|K0III:      | 5.81|
|HIP 24732 |05 18 13.2527|+73 16 05.291|A0V         | 5.81|
|HIP 95222 |19 22 21.5098|-00 15 08.202|G8III:      | 5.81|
|HIP 114167|23 07 14.8066|-50 41 11.849|F6.5IV-V+.. | 5.81|
|HIP 16368 |03 30 51.6825|-66 29 22.985|B8V         | 5.81|
|HIP 105413|21 21 04.8006|+07 21 16.366|M2III       | 5.81|
|HIP 35202 |07 16 31.8569|-38 19 08.185|B4V         | 5.81|
|HIP 32402 |06 45 53.7213|-52 24 34.969|K3III       | 5.81|
|HIP 65247 |13 22 16.2898|-52 10 58.626|B2.5Ib      | 5.81|
|HIP 64927 |13 18 27.7074|+34 05 53.853|K4.5III     | 5.81|
|HIP 26545 |05 38 43.5267|-40 42 26.489|B8V         | 5.81|
|HIP 90342 |18 25 58.7716|+29 49 44.363|A2IV        | 5.81|
|HIP 118281|23 59 29.3338|+33 43 26.879|F8          | 5.81|
|HIP 77738 |15 52 16.5817|+55 49 35.694|G8III:      | 5.81|
|HIP 14187 |03 02 55.8417|-46 58 30.152|K2/K3III    | 5.81|
|HIP 28287 |05 58 37.5567|-44 02 04.508|G8II        | 5.81|
|HIP 11090 |02 22 50.3620|+41 23 47.525|F0III-IV    | 5.81|
|HIP 99026 |20 06 13.6388|+53 09 54.243|F5V         | 5.81|
|HIP 66563 |13 38 42.1259|-29 33 38.447|F3V         | 5.81|
|HIP 67143 |13 45 36.9377|-26 06 57.545|A0V         | 5.81|
|HIP 115191|23 19 52.3812|+42 04 40.922|M0III       | 5.81|
|HIP 116582|23 37 32.0312|+44 25 44.527|B8V         | 5.81|
|HIP 20465 |04 23 05.6610|-24 53 31.628|K5III       | 5.81|
|HIP 10871 |02 19 54.2467|-55 56 41.430|K5III       | 5.81|
|HIP 50384 |10 17 14.8006|+23 06 23.242|F8Vw        | 5.81|
|HIP 17798 |03 48 35.7230|-20 54 10.570|K5III       | 5.81|
|HIP 60584 |12 25 03.2236|+56 46 40.290|M3III       | 5.82|
|HIP 65536 |13 26 08.0233|+72 23 29.394|M1III       | 5.82|
|HIP 92488 |18 50 58.5050|-09 46 26.766|F2Ib        | 5.82|
|HIP 16340 |03 30 36.9322|+48 06 13.157|B8V         | 5.82|
|HIP 116250|23 33 19.5456|-77 23 07.194|G2V         | 5.82|
|HIP 87812 |17 56 18.4030|+00 40 13.281|B2IV-V      | 5.82|
|HIP 55581 |11 23 08.1653|-56 46 45.727|A4:p        | 5.82|
|HIP 91532 |18 40 00.4003|-07 47 26.548|K4III       | 5.82|
|HIP 17891 |03 49 36.6212|+63 17 49.576|A5Vn        | 5.82|
|HIP 78442 |16 00 51.1589|+04 25 37.849|K0III:      | 5.82|
|HIP 93580 |19 03 32.2390|+01 49 08.165|A4V         | 5.82|
|HIP 111600|22 36 35.4694|-31 39 49.295|K2III       | 5.82|
|HIP 31072 |06 31 13.0973|-35 15 31.900|G8III+...   | 5.82|
|HIP 7078  |01 31 13.5185|+70 15 53.239|F6V         | 5.82|
|HIP 22573 |04 51 28.1987|-34 54 22.435|A2/A3V      | 5.82|
|HIP 74096 |15 08 35.5649|+25 06 31.092|K1III       | 5.82|
|HIP 28992 |06 07 03.6685|-34 18 43.278|B4Vnn       | 5.82|
|HIP 31173 |06 32 27.2028|+32 27 17.786|A3m + A3m   | 5.82|
|HIP 76569 |15 38 16.2421|-21 00 58.151|K0III       | 5.82|
|HIP 41621 |08 29 07.5728|-44 09 37.554|B2V         | 5.82|
|HIP 100276|20 20 21.3966|+17 47 34.809|K5III       | 5.82|
|HIP 30703 |06 27 04.1357|-58 00 07.579|K3III       | 5.82|
|HIP 68079 |13 56 19.8934|-46 35 33.824|K0IV        | 5.82|
|HIP 38159 |07 49 12.8664|-46 51 27.867|B1.5IV      | 5.82|
|HIP 76207 |15 34 01.7374|-40 03 58.855|M2III       | 5.82|
|HIP 64822 |13 17 13.9230|-43 58 45.991|Am          | 5.82|
|HIP 95785 |19 28 57.0776|+24 46 07.253|K0III       | 5.82|
|HIP 16846 |03 36 47.3088|+00 35 17.358|G5IV/V +K1IV| 5.82|
|HIP 92027 |18 45 28.3559|+05 30 00.443|A1V         | 5.82|
|HIP 113084|22 54 06.9108|+40 22 36.611|K0III       | 5.82|
|HIP 85207 |17 24 42.0401|-21 26 29.089|K0III       | 5.82|
|HIP 112590|22 48 11.0670|+37 25 00.632|G8III:      | 5.82|
|HIP 59728 |12 14 59.5823|-20 50 39.240|K0IIICN...  | 5.82|
|HIP 13835 |02 58 05.6879|-23 36 22.098|K2III       | 5.82|
|HIP 91974 |18 44 49.6032|-25 00 39.108|B8III       | 5.82|
|HIP 75944 |15 30 40.3876|-16 36 34.049|K0III       | 5.82|
|HIP 45675 |09 18 42.3613|-51 33 38.376|B7Iab       | 5.83|
|HIP 45559 |09 17 07.7321|-14 34 26.608|K0III       | 5.83|
|HIP 35749 |07 22 25.3969|-05 58 58.109|F3IV        | 5.83|
|HIP 5021  |01 04 19.5489|+61 34 48.879|F6V         | 5.83|
|HIP 40077 |08 11 10.8046|-48 27 43.213|B3V         | 5.83|
|HIP 70663 |14 27 12.2995|-46 08 02.631|Am          | 5.83|
|HIP 29629 |06 14 36.7067|-04 34 06.467|B5V         | 5.83|
|HIP 13108 |02 48 32.0631|+18 17 01.932|K1III       | 5.83|
|HIP 26396 |05 37 08.8381|+26 55 28.302|B9IV-V      | 5.83|
|HIP 105164|21 18 11.0660|-04 31 10.242|B5V         | 5.83|
|HIP 104680|21 12 13.6681|-40 16 07.782|F5IV        | 5.83|
|HIP 29379 |06 11 32.3052|+24 25 13.365|K0III       | 5.83|
|HIP 80351 |16 24 10.8272|+06 56 53.417|A2sp...     | 5.83|
|HIP 81472 |16 38 26.3013|-43 23 54.153|B2.5IV      | 5.83|
|HIP 108875|22 03 19.0221|+11 23 11.602|B9.5V       | 5.83|
|HIP 67861 |13 53 57.2469|-47 07 41.353|B2IIIe      | 5.83|
|HIP 97376 |19 47 27.7763|+38 24 27.420|B8Vn        | 5.83|
|HIP 8544  |01 50 08.5803|+22 16 31.284|K1III+...   | 5.83|
|HIP 114382|23 09 57.6408|-42 51 40.209|F4IV        | 5.83|
|HIP 39380 |08 03 04.1699|-32 27 48.855|K2/K3III    | 5.83|
|HIP 56035 |11 29 04.7036|+61 46 40.028|F5Vawvar    | 5.83|
|HIP 71573 |14 38 15.2051|+54 01 24.189|A1V         | 5.83|
|HIP 88818 |18 07 49.5625|+26 06 04.396|A3V         | 5.83|
|HIP 58181 |11 55 58.4077|+56 35 54.826|K1III       | 5.83|
|HIP 29575 |06 13 54.2445|-03 44 29.122|G8III       | 5.83|
|HIP 103810|21 02 08.9964|+56 40 10.601|B8III       | 5.83|
|HIP 48748 |09 56 35.4701|-33 25 06.779|K1III       | 5.83|
|HIP 85760 |17 31 27.4731|-80 51 32.502|M3III       | 5.83|
|HIP 62512 |12 48 39.3366|+60 19 11.628|F5V         | 5.83|
|HIP 100069|20 18 06.9900|+40 43 55.553|O9V         | 5.83|
|HIP 73566 |15 02 06.3790|-28 03 37.901|A4IV        | 5.83|
|HIP 81289 |16 36 11.2119|+46 36 47.970|G8II        | 5.83|
|HIP 103359|20 56 25.4400|+50 43 43.139|F0III       | 5.83|
|HIP 110787|22 26 42.4463|+78 47 09.395|A2m         | 5.83|
|HIP 3299  |00 42 03.4357|+66 08 51.407|G9III-IV    | 5.83|
|HIP 36812 |07 34 15.8941|+03 22 18.251|A0Vnn       | 5.83|
|HIP 85379 |17 26 44.2423|+48 15 36.260|A4V         | 5.83|
|HIP 71002 |14 31 16.3861|-67 43 01.394|K1III       | 5.84|
|HIP 92822 |18 54 47.1693|+48 51 35.005|F3III       | 5.84|
|HIP 95188 |19 21 50.8327|-18 18 29.385|K0III       | 5.84|
|HIP 14110 |03 01 56.0932|-09 57 41.016|G6III:      | 5.84|
|HIP 88670 |18 06 07.4010|-08 19 26.094|B8III-IV    | 5.84|
|HIP 56606 |11 36 22.3809|-61 03 08.774|B2.5IV      | 5.84|
|HIP 82716 |16 54 26.9414|-42 28 43.952|F5Ib-II     | 5.84|
|HIP 61916 |12 41 23.0450|-46 08 44.618|K3II        | 5.84|
|HIP 64623 |13 14 43.3632|-48 57 24.498|K0IV        | 5.84|
|HIP 81741 |16 41 45.4951|-33 08 44.236|G1II        | 5.84|
|HIP 87472 |17 52 19.7597|-34 25 00.590|G8/K0III    | 5.84|
|HIP 9132  |01 57 43.7353|+27 48 16.286|M2III       | 5.84|
|HIP 69829 |14 17 28.4426|+15 15 48.099|M3III       | 5.84|
|HIP 111810|22 38 52.6181|+19 31 20.971|G8II        | 5.84|
|HIP 106062|21 28 59.7571|+22 10 45.854|M4III       | 5.84|
|HIP 76594 |15 38 34.2004|+50 25 24.067|G8III       | 5.84|
|HIP 78168 |15 57 40.4696|-20 58 58.892|B3V         | 5.84|
|HIP 15305 |03 17 26.6020|-47 45 06.256|K2III       | 5.84|
|HIP 95582 |19 26 28.6867|+19 53 29.796|M0III       | 5.84|
|HIP 11840 |02 32 52.6580|+34 32 32.843|K0III       | 5.84|
|HIP 50336 |10 16 41.8395|+25 22 14.512|K2III:      | 5.84|
|HIP 91461 |18 39 14.2710|-47 54 35.293|A3V         | 5.84|
|HIP 23883 |05 07 55.4348|+21 42 17.409|B2Ve        | 5.84|
|HIP 23148 |04 58 50.9872|-82 28 13.881|G8III       | 5.84|
|HIP 35025 |07 14 41.9446|+24 53 06.727|M1IIIvar    | 5.84|
|HIP 10035 |02 09 09.3314|-43 30 59.295|K1III       | 5.84|
|HIP 85889 |17 33 07.3871|-41 10 23.007|B9Ib/II     | 5.84|
|HIP 6502  |01 23 30.9681|-30 56 43.822|M0III       | 5.84|
|HIP 63143 |12 56 17.6421|+54 05 58.139|A5m         | 5.84|
|HIP 108226|21 55 30.9910|+65 19 14.923|B2.5Ve      | 5.84|
|HIP 22407 |04 49 19.0593|+32 35 17.765|A8m         | 5.84|
|HIP 52139 |10 39 07.7955|+37 54 36.401|F9V         | 5.84|
|HIP 12288 |02 38 18.5957|-30 11 37.978|F5V         | 5.84|
|HIP 840   |00 10 18.8493|-05 14 54.662|K1III       | 5.84|
|HIP 36721 |07 33 09.7776|-24 42 38.809|A3III       | 5.84|
|HIP 74539 |15 13 53.3217|-26 11 36.814|G8/K0II     | 5.84|
|HIP 95732 |19 28 20.7967|+02 55 48.242|B6III       | 5.84|
|HIP 112417|22 46 10.1053|+44 32 45.516|F0III-IV    | 5.84|
|HIP 19454 |04 10 00.2238|+86 37 34.866|F5IV        | 5.84|
|HIP 64587 |13 14 17.3565|-78 26 50.802|F8Ib        | 5.84|
|HIP 99572 |20 12 25.7553|-12 37 01.280|F5V         | 5.84|
|HIP 873   |00 10 42.7454|-12 34 47.294|K0III       | 5.84|
|HIP 34758 |07 11 41.6109|-20 52 59.216|A0IV/V      | 5.84|
|HIP 52922 |10 49 24.4565|-59 19 25.602|B9.5IV/V    | 5.85|
|HIP 18606 |03 58 52.4213|-05 28 10.286|G9V         | 5.85|
|HIP 34819 |07 12 26.3879|+24 07 43.330|F5IV        | 5.85|
|HIP 94336 |19 12 05.2156|+49 51 15.257|G4V+...     | 5.85|
|HIP 111643|22 36 58.8199|-40 35 27.114|A1V         | 5.85|
|HIP 20271 |04 20 42.8319|-07 35 32.967|B5III       | 5.85|
|HIP 59608 |12 13 25.9945|+10 15 44.497|A2m         | 5.85|
|HIP 44406 |09 02 44.8229|+07 17 53.748|K3III:      | 5.85|
|HIP 114641|23 13 26.5084|+11 03 54.057|G5III:      | 5.85|
|HIP 113622|23 00 42.8975|+03 00 43.230|K4III       | 5.85|
|HIP 57841 |11 51 41.6168|-30 50 02.745|F8V         | 5.85|
|HIP 48734 |09 56 26.0264|+08 55 59.188|K2III:      | 5.85|
|HIP 91438 |18 38 53.4473|-21 03 05.407|G5V         | 5.85|
|HIP 45314 |09 14 08.2298|-44 08 45.073|B6IV        | 5.85|
|HIP 21604 |04 38 15.8385|+20 41 05.072|B8V         | 5.85|
|HIP 74100 |15 08 39.2136|-42 52 04.331|B7V         | 5.85|
|HIP 117722|23 52 30.0483|-14 15 04.345|K2III       | 5.85|
|HIP 12686 |02 42 59.4674|+53 31 34.256|K0II-III    | 5.85|
|HIP 45386 |09 14 57.1659|-37 36 08.519|K0/K1III+.. | 5.85|
|HIP 52948 |10 49 43.4829|-09 51 09.464|G8III:      | 5.85|
|HIP 95352 |19 23 56.4886|+43 23 17.654|G6.5IIIa    | 5.85|
|HIP 77370 |15 47 37.9136|+55 22 35.815|A3m         | 5.85|
|HIP 76509 |15 37 32.0426|+54 30 31.619|K1III:      | 5.85|
|HIP 72959 |14 54 37.9206|-33 18 02.019|K2III       | 5.85|
|HIP 33377 |06 56 32.0604|+46 16 26.350|B8III       | 5.85|
|HIP 66798 |13 41 29.8170|+64 49 20.783|A2V         | 5.85|
|HIP 36399 |07 29 25.6100|-07 33 05.308|F8V         | 5.86|
|HIP 16989 |03 38 29.2542|-07 23 30.154|G5III:      | 5.86|
|HIP 46618 |09 30 22.5392|-15 34 37.895|K2III       | 5.86|
|HIP 48893 |09 58 22.9099|+72 52 46.553|K3III:      | 5.86|
|HIP 29616 |06 14 28.5850|+17 54 22.962|A6m         | 5.86|
|HIP 23475 |05 02 45.3701|-04 12 36.452|K3          | 5.86|
|HIP 88101 |17 59 36.7648|-04 49 15.282|K5III       | 5.86|
|HIP 45585 |09 17 27.6341|-74 44 04.835|A0V         | 5.86|
|HIP 33937 |07 02 33.2944|+16 40 28.074|M2III       | 5.86|
|HIP 20341 |04 21 27.0501|-00 05 52.320|K2          | 5.86|
|HIP 31039 |06 30 47.1413|+58 09 48.445|K0IV        | 5.86|
|HIP 25488 |05 27 05.3180|-40 56 37.584|A7m         | 5.86|
|HIP 25887 |05 31 35.9885|-45 55 31.457|K3III       | 5.86|
|HIP 77052 |15 44 01.8459|+02 30 55.890|G5V         | 5.86|
|HIP 89234 |18 12 34.1658|-73 40 18.403|F5V         | 5.86|
|HIP 38712 |07 55 31.4377|+08 51 47.006|F2IV        | 5.86|
|HIP 94157 |19 09 57.6540|-41 53 32.025|B5V         | 5.86|
|HIP 82172 |16 47 19.7448|+42 14 20.326|M4IIIa      | 5.86|
|HIP 71184 |14 33 32.4708|-54 59 55.016|F6IV-V      | 5.86|
|HIP 112997|22 53 02.2787|+16 50 28.540|K1III SB    | 5.86|
|HIP 77541 |15 49 57.5209|-48 54 44.576|A2IV        | 5.86|
|HIP 10326 |02 13 00.9524|-21 00 00.852|K0III       | 5.86|
|HIP 85049 |17 22 55.2281|-58 00 37.041|G8Ib/II     | 5.86|
|HIP 1372  |00 17 09.0402|+47 56 50.694|B7III       | 5.86|
|HIP 8387  |01 48 10.9027|+16 57 20.271|B9.5V       | 5.86|
|HIP 40357 |08 14 23.8783|-45 50 04.374|B2IV-V      | 5.86|
|HIP 71182 |14 33 29.9702|-52 40 46.131|K0III       | 5.86|
|HIP 69929 |14 18 38.2962|-18 42 57.174|Ap Si(Cr)   | 5.86|
|HIP 72567 |14 50 15.7188|+23 54 42.355|G2V         | 5.86|
|HIP 61420 |12 35 08.1538|+21 52 53.153|K1III       | 5.86|
|HIP 89099 |18 11 05.5362|-41 21 32.473|F0Vn        | 5.86|
|HIP 53778 |11 00 11.6989|-14 04 59.875|K5III       | 5.86|
|HIP 35347 |07 18 04.2571|-43 59 12.381|B8II/III    | 5.86|
|HIP 46736 |09 31 32.9335|-35 42 51.584|K3III       | 5.86|
|HIP 79320 |16 11 17.7675|-41 07 10.193|F0IV        | 5.86|
|HIP 21972 |04 43 21.5985|+49 58 25.774|B9III       | 5.86|
|HIP 116380|23 34 59.0305|+71 38 31.377|K0Ib        | 5.86|
|HIP 97081 |19 43 45.0819|+41 46 23.102|M0III       | 5.86|
|HIP 43370 |08 50 02.2417|-29 27 46.837|G8III       | 5.86|
|HIP 102772|20 49 17.6055|-25 46 52.301|B8II        | 5.86|
|HIP 13339 |02 51 41.7524|+46 50 31.207|G8III       | 5.86|
|HIP 82621 |16 53 25.2570|-20 24 55.759|G5IV        | 5.86|
|HIP 100738|20 25 26.8204|-28 39 47.806|G8II/III    | 5.86|
|HIP 89115 |18 11 15.7618|-75 53 26.860|K3III       | 5.86|
|HIP 49893 |10 11 12.7932|+37 24 07.095|K3III       | 5.86|
|HIP 100062|20 18 01.3752|-21 48 35.640|G8III       | 5.86|
|HIP 117503|23 49 40.9601|+36 25 31.430|G1IIIe      | 5.86|
|HIP 61720 |12 39 03.4846|-30 25 20.457|K2/K3III    | 5.86|
|HIP 3750  |00 48 08.8755|+72 40 28.048|K0IV        | 5.86|
|HIP 79098 |16 08 43.7272|-23 41 07.271|B9V         | 5.86|
|HIP 86219 |17 37 08.8372|+72 27 20.725|G9III       | 5.87|
|HIP 9572  |02 02 58.5536|-15 18 21.419|K0II/III    | 5.87|
|HIP 98416 |19 59 47.4894|-09 57 26.223|F8V         | 5.87|
|HIP 39184 |08 00 49.9638|-54 09 04.666|B5Vn        | 5.87|
|HIP 102891|20 50 41.7016|-12 32 41.027|K1III       | 5.87|
|HIP 20804 |04 27 28.7700|+11 12 44.395|B8IV        | 5.87|
|HIP 28011 |05 55 30.1555|-04 36 59.385|K2III:      | 5.87|
|HIP 70657 |14 27 07.1132|-65 49 17.802|K3III       | 5.87|
|HIP 55763 |11 25 33.1280|-37 44 51.172|M3III       | 5.87|
|HIP 6226  |01 19 48.2921|-00 30 32.382|A7V...      | 5.87|
|HIP 105412|21 21 04.3258|-04 33 36.548|G7III:      | 5.87|
|HIP 90637 |18 29 35.7104|+23 51 58.343|B6IV        | 5.87|
|HIP 52841 |10 48 14.1318|-31 41 16.275|A1V         | 5.87|
|HIP 26487 |05 38 01.1124|+07 32 29.239|B8III       | 5.87|
|HIP 35341 |07 18 02.2250|+40 53 00.107|A5Vn        | 5.87|
|HIP 67836 |13 53 43.1104|-53 22 23.810|B5III       | 5.87|
|HIP 35626 |07 21 04.3404|-25 53 30.034|M3III       | 5.87|
|HIP 32753 |06 49 49.8454|+16 12 10.487|B7III       | 5.87|
|HIP 36444 |07 29 59.7450|-52 39 04.635|K0III       | 5.87|
|HIP 77909 |15 54 39.5380|-25 14 37.246|B8III/IV    | 5.87|
|HIP 39191 |08 00 55.8622|+25 23 34.153|G8III:      | 5.87|
|HIP 109730|22 13 38.6502|+28 36 28.897|K2III       | 5.87|
|HIP 86847 |17 44 42.0058|-42 43 45.480|A2/A3IV/V   | 5.87|
|HIP 37915 |07 46 10.5587|-37 56 01.320|B5V         | 5.87|
|HIP 46652 |09 30 43.2334|+33 39 20.980|G8III:      | 5.87|
|HIP 69965 |14 19 01.1260|-25 48 58.742|F7Vw        | 5.87|
|HIP 62360 |12 46 46.2206|-33 18 55.490|K3III       | 5.87|
|HIP 30666 |06 26 39.5911|-01 30 26.152|A3Vn        | 5.87|
|HIP 100574|20 23 44.3653|+37 28 35.214|B2Vne       | 5.87|
|HIP 62641 |12 50 10.8057|+37 31 00.784|A3V         | 5.87|
|HIP 27533 |05 49 53.5095|-22 58 18.925|A1V         | 5.87|
|HIP 5926  |01 16 11.9017|+71 44 37.843|K1V         | 5.87|
|HIP 31665 |06 37 38.3989|+56 51 27.026|A2V         | 5.87|
|HIP 99889 |20 16 00.6071|+45 34 46.771|F5V:        | 5.87|
|HIP 207   |00 02 36.0822|+66 05 56.268|G8III       | 5.87|
|HIP 84248 |17 13 18.1125|-67 11 46.939|K0III-IV    | 5.87|
|HIP 28854 |06 05 27.0196|-10 14 33.573|F4V:        | 5.88|
|HIP 44024 |08 57 55.5730|-48 34 22.561|G8/K0II     | 5.88|
|HIP 4346  |00 55 42.4043|-07 20 49.344|K5III       | 5.88|
|HIP 53723 |10 59 30.9540|-16 21 13.250|M1III       | 5.88|
|HIP 97783 |19 52 12.0051|-19 02 41.503|K0III       | 5.88|
|HIP 73310 |14 58 53.6440|-11 08 37.911|K3III-IV    | 5.88|
|HIP 61558 |12 36 47.3708|-05 49 54.664|A3V         | 5.88|
|HIP 61181 |12 32 09.8951|-73 00 03.755|K1III       | 5.88|
|HIP 20020 |04 17 40.2653|-63 15 19.770|B+...       | 5.88|
|HIP 46620 |09 30 23.4533|-58 21 42.856|M2III       | 5.88|
|HIP 65323 |13 23 18.9052|-04 55 27.798|K3III       | 5.88|
|HIP 31159 |06 32 19.2261|+04 51 21.583|K0V         | 5.88|
|HIP 19129 |04 06 03.1703|+68 40 47.875|K2III       | 5.88|
|HIP 50685 |10 21 03.4282|+68 44 51.843|A7Vn        | 5.88|
|HIP 90930 |18 32 55.3295|-73 57 55.382|K0III       | 5.88|
|HIP 30972 |06 30 02.9801|+46 41 07.928|K4III       | 5.88|
|HIP 33415 |06 56 56.1292|+46 42 19.935|K0III:      | 5.88|
|HIP 83176 |16 59 57.7039|-25 05 31.783|M1/M2III    | 5.88|
|HIP 74296 |15 11 08.7938|-84 47 16.159|B9.5V       | 5.88|
|HIP 111934|22 40 22.3796|-30 39 30.102|K2/K3III    | 5.88|
|HIP 26865 |05 42 13.9584|-22 22 25.453|A2/A3V      | 5.88|
